,score
x_002,0.8739282301682533
x_127,0.8069654513706113
x_146,0.8058731317428833
x_148,0.7861012106685527
x_047,0.7564530939178649
x_126,0.7130039866555061
x_141,0.7119548235299497
x_020,0.7036230560186705
x_035,0.6354394409958992
x_061,0.6152470853032678
x_186,0.6049310138216781
x_147,0.5895706911796992
x_080,0.5837786119036258
x_145,0.5783771206338955
x_187,0.5743283635155964
x_054,0.5566936997711338
x_161,0.5524328753334633
x_136,0.5482672016362735
x_044,0.5468087218210682
x_125,0.5384019810450882
x_185,0.5262084321362259
x_174,0.5153525555495925
x_076,0.48910882973447156
x_143,0.48874094572679044
x_138,0.48553369376219935
x_123,0.4825740117872697
x_077,0.4812854977119068
x_053,0.4633055119621129
x_160,0.4568611675162126
x_172,0.4533148834232626
x_173,0.44279436520940535
x_140,0.42761219964832825
x_131,0.4226468198983378
x_046,0.41937535520093816
x_052,0.4175001093513922
x_159,0.39290825502148014
x_058,0.39167274107856803
x_060,0.388295630796968
x_079,0.3812541710354758
x_124,0.37391712095264296
x_021,0.37258323983743385
x_188,0.3606773177574667
x_059,0.35506596190880807
x_043,0.3543690099440556
x_045,0.33575964777095846
x_122,0.33546372866617974
x_057,0.3333501756232339
x_195,0.3259994342021215
x_194,0.3259008668054043
x_091,0.3207643047020498
x_133,0.3181219758081076
x_078,0.30990366861932606
x_153,0.30396677661406474
x_050,0.29721002375649813
x_034,0.2858194955234748
x_090,0.2781402987128774
x_196,0.2732075433290505
x_190,0.2655334006575489
x_135,0.26343974367881956
x_051,0.2578052412852089
x_179,0.25404723427860715
x_198,0.24385518153969882
x_199,0.23890897068299982
x_003,0.231651900761964
x_041,0.22521101298363058
x_168,0.22468749629513768
x_191,0.21963764291849902
x_170,0.21658266494680917
x_055,0.2147971142634549
x_197,0.207644441107196
x_144,0.20754714349232165
x_180,0.20526776232299535
x_166,0.2017488851197875
x_031,0.1990032174004746
x_189,0.19558850118556348
x_181,0.1953375996351024
x_004,0.19372167795221948
x_024,0.1926608338892637
x_155,0.19259558840753538
x_121,0.19059996595785414
x_088,0.18066858810165526
x_074,0.18047462698256983
x_048,0.17913242001577165
x_139,0.17659629252248485
x_049,0.17442592041862148
x_182,0.16565445483227542
x_025,0.15688810216575086
x_026,0.1560670222505898
x_167,0.15295697374641268
x_183,0.15069808163175885
x_036,0.14843737170343566
x_184,0.14802068643884264
x_192,0.1423246610215373
x_157,0.13187256773068778
x_056,0.1271983577882583
x_134,0.12543406024857476
x_176,0.11936612283228779
x_175,0.11831030938217812
x_169,0.11390503895392241
x_171,0.11353416595616754
x_014,0.10589785802157144
x_156,0.10337133722131472
x_193,0.09832268578004555
x_001,0.09698521602150648
x_030,0.08948040430932581
x_149,0.0881117800364557
x_154,0.08581580336767049
x_089,0.08491559943606557
x_158,0.083627855432192
x_075,0.08220448040008535
x_151,0.08172410020431511
x_164,0.07804478339630674
x_137,0.0747279822829329
x_027,0.07445681329474087
x_042,0.0721816899029725
x_177,0.06892607139158254
x_152,0.06671108326822102
x_162,0.06585348192721947
x_037,0.0628138806945117
x_029,0.061871298978810364
x_165,0.05969913430416459
x_163,0.057813920654636954
x_142,0.05561225860128358
x_178,0.04523896000269856
x_150,0.042304895589944026
x_032,0.04178523245519043
x_016,0.040686986707175396
x_033,0.04010010553605317
x_132,0.039855657433422384
x_018,0.03715568997639341
x_023,0.019986256416374176
x_005,0.0130863038281703
x_040,0.009598732129545696
x_038,0.006972768596271682
x_006,0.0025949538122901185
x_017,0.001880050505050505
x_009,0.0014159115138592752
x_010,0.0010864154213861374
x_013,0.00033783783783783786
x_039,0.0
x_022,0.0
x_011,0.0
x_007,0.0
x_008,0.0
x_019,0.0
x_015,0.0
x_028,0.0
